STATE,OWNERSHIP,BEDCERT,RESTOT,INCIDENT_CNT,CMPLNT_CNT,FINE_CNT,FINE_TOT,PAYDEN_CNT,TOT_PENLTY_CNT
UT,Government - Federal,108,55.4,0,1,0,0,0,0
UT,Government - Hospital district,578,297.2,0,24,1,9955,1,2
UT,Government - State,266,186.29999999999998,0,3,1,15606,0,1
UT,Non profit - Corporation,968,664.8000000000001,0,39,4,64991,1,5
UT,Non profit - Other,41,31.8,0,1,0,0,0,0
VA,For profit - Corporation,18246,14593.499999999996,0,968,57,3476521,8,65
VA,For profit - Individual,840,604.3,0,40,4,134979,1,5
VA,For profit - Limited Liability company,2209,1598.8999999999999,0,52,4,187138,0,4
VA,For profit - Partnership,2536,2036.4000000000005,0,213,5,286440,0,5
VA,Government - City,111,82.8,0,0,1,9428,0,1
VA,Government - City/county,180,142.1,0,1,0,0,0,0
VA,Government - County,306,258.2,0,5,1,68803,0,1
VA,Government - State,495,412.8,0,5,1,13000,0,1
VA,Non profit - Church related,694,515.8,0,27,3,39903,0,3
VA,Non profit - Corporation,6750,5024.699999999998,0,144,10,436748,2,12
VA,Non profit - Other,180,139.2,0,1,0,0,0,0
VT,For profit - Corporation,1887,1323.1999999999998,91,60,12,159166,0,12
VT,For profit - Partnership,248,191.39999999999998,23,12,1,13905,0,1
VT,Government - State,177,108.6,4,2,0,0,0,0
VT,Non profit - Corporation,765,569.5,32,16,2,117199,0,2
WA,For profit - Corporation,10839,7268.5999999999985,647,832,175,3923962,4,179
WA,For profit - Individual,767,536.5999999999999,39,71,11,294282,0,11
WA,For profit - Limited Liability company,2352,1552.0,166,229,33,889380,1,34
WA,For profit - Partnership,339,203.6,22,12,3,80126,0,3
WA,Government - Federal,44,32.6,4,0,1,40173,0,1
WA,Government - Hospital district,130,101.89999999999999,5,1,3,41847,0,3
WA,Government - State,1027,815.2,49,50,5,134625,0,5
WA,Non profit - Church related,561,336.79999999999995,27,27,7,127219,2,9
WA,Non profit - Corporation,3065,2143.6,89,90,28,510353,0,28
WA,Non profit - Other,608,440.70000000000005,18,97,9,236513,0,9
WI,For profit - Corporation,11363,7497.999999999997,70,544,41,1911207,10,51
WI,For profit - Individual,1058,703.5999999999999,10,60,5,196689,0,5
WI,For profit - Limited Liability company,1690,1196.3999999999999,14,112,8,239886,1,9
WI,For profit - Partnership,1359,890.1000000000001,15,48,5,62921,1,6
WI,Government - City,190,124.8,0,1,1,11941,0,1
WI,Government - City/county,279,217.2,0,0,0,0,0,0
WI,Government - County,3294,2634.7999999999997,9,19,9,134704,0,9
WI,Government - Federal,50,40.3,3,1,0,0,0,0
WI,Government - State,751,697.9999999999999,2,5,3,67246,0,3
WI,Non profit - Church related,1626,1225.9,3,30,8,294787,1,9
WI,Non profit - Corporation,6359,4701.200000000001,41,137,23,550582,0,23
WI,Non profit - Other,83,68.9,0,0,0,0,0,0
WV,For profit - Corporation,5024,4235.199999999999,0,90,14,1253255,2,16
WV,For profit - Individual,392,306.5,0,0,1,8964,0,1
WV,For profit - Limited Liability company,2725,2299.5999999999995,0,59,6,590051,1,7
WV,For profit - Partnership,643,584.0999999999999,0,7,4,168423,1,5
WV,Government - State,533,252.39999999999998,0,9,1,13905,0,1
WV,Non profit - Church related,306,314.0,0,0,0,0,0,0
WV,Non profit - Corporation,967,801.3000000000001,0,7,0,0,0,0
WV,Non profit - Other,69,61.0,0,0,0,0,0,0
WY,For profit - Corporation,1583,1104.6000000000001,5,146,11,370347,0,11
WY,For profit - Limited Liability company,261,209.2,0,14,0,0,0,0
WY,Government - Federal,45,31.4,2,0,1,7803,0,1
WY,Government - Hospital district,740,609.7,7,16,0,0,0,0
WY,Government - State,90,70.8,1,0,0,0,0,0
WY,Non profit - Corporation,217,174.9,1,2,1,16210,0,1
