Facility Name,Facility Name Normalized,Changed,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score,VlookupMatch
NCC Alpha 3 House,NCC ALPHA 3 HOUSE,,,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HANNA HOUSE SKILLED NURSING CE,86,False
NCC Royalton House - Alpha 2 House,NCC ROYALTON HOUSE - ALPHA 2 HOUSE,,,20201022,OH,CUYAHOGA,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUTHERAN HOME,49,False
NCC Royalton House ALPHA 2 HOUSE,NCC ROYALTON HOUSE ALPHA 2 HOUSE,,,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUTHERAN HOME,49,False
NCC Sprague House,NCC SPRAGUE HOUSE,,,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HANNA HOUSE SKILLED NURSING CE,86,False
New Avenues for Independence on Euclid Avenue,NEW AVENUES FOR INDEPENDENCE ON EUCLID AVENUE,,,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVENUE AT BROADVIEW HEIGHTS,86,False
New Avenues to Independence,NEW AVENUES TO INDEPENDENCE,,,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELSH HOME,45,False
Normandy Care,NORMANDY MANOR OF ROCKY RIVER,,NORMANDY MANOR OF ROCKY RIVER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORMANDY MANOR OF ROCKY RIVER,100,True
Northwestern Healthcare Center,NORTHWESTERN HEALTHCARE CENTER,,NORTHWESTERN HEALTHCARE CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHWESTERN HEALTHCARE CENTER,100,True
O'Neill Healthcare Bay Village,O'NEILL HEALTHCARE BAY VILLAGE,,O'NEILL HEALTHCARE BAY VILLAGE,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'NEILL HEALTHCARE BAY VILLAGE,100,True
O'Neill Healthcare Bay Village ASST LIVING,O'NEILL HEALTHCARE BAY VILLAGE ASST LIVING,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTBROOK HEALTHCARE CENTER,86,False
O'Neill Healthcare Fairview Park,O'NEILL HEALTHCARE FAIRVIEW PARK,,O'NEILL HEALTHCARE FAIRVIEW PARK,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'NEILL HEALTHCARE FAIRVIEW PARK,100,True
O'Neill Healthcare Lakewood,O'NEILL HEALTHCARE LAKEWOOD,,O'NEILL HEALTHCARE LAKEWOOD,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'NEILL HEALTHCARE LAKEWOOD,100,True
O'Neill Healthcare Lakewood  Assisted Living,O'NEILL HEALTHCARE LAKEWOOD ASSISTED LIVING,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTBROOK HEALTHCARE CENTER,86,False
O'Neill Healthcare Lakewood Assisted Living,O'NEILL HEALTHCARE LAKEWOOD ASSISTED LIVING,,,20201022,OH,CUYAHOGA,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTBROOK HEALTHCARE CENTER,86,False
O'Neill Healthcare North Olmsted,O'NEILL HEALTHCARE NORTH OLMSTED,,O'NEILL HEALTHCARE NORTH OLMSTED,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'NEILL HEALTHCARE NORTH OLMSTED,100,True
OUR LADY OF THE WAYSIDE BEREA,OUR LADY OF THE WAYSIDE BEREA,,,20201022,OH,CUYAHOGA,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAKS OF BRECKSVILLE,86,False
Oaks of Brecksville,OAKS OF BRECKSVILLE,,OAKS OF BRECKSVILLE,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAKS OF BRECKSVILLE,100,True
Our Lady of the Wayside-Berea,OUR LADY OF THE WAYSIDE-BEREA,,,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RICHMOND HEIGHTS PLACE-A CONTINUUM OF CARE COMMUNITY,86,False
PARK CREEK CENTER,PARK CREEK CENTER,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRAWFORD MANOR HEALTHCARE CENTER,86,False
PARKSIDE VILLA,PARKSIDE VILLA,x,PARKSIDE VILLA,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARKSIDE VILLA,100,True
Park Creek Center,PARK CREEK CENTER,,,20201022,OH,CUYAHOGA,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRAWFORD MANOR HEALTHCARE CENTER,86,False
ParmaCare,PARMA CARE CENTER,,PARMA CARE CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARMA CARE CENTER,100,True
Pleasant Lake Villa,PLEASANT LAKE VILLA,,PLEASANT LAKE VILLA,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEASANT LAKE VILLA,100,True
Pleasant View LTC Legacy,PLEASANTVIEW CARE CENTER,x,PLEASANTVIEW CARE CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEASANTVIEW CARE CENTER,100,True
RICHMOND HTS PLACE,RICHMOND HEIGHTS PLACE-A CONTINUUM OF CARE COMMUNITY,,RICHMOND HEIGHTS PLACE-A CONTINUUM OF CARE COMMUNITY,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RICHMOND HEIGHTS PLACE-A CONTINUUM OF CARE COMMUNITY,100,True
ROYALTON WOODS RETIREMENT,ROYALTON WOODS RETIREMENT,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALTON MANOR HEALTH CARE CENTER,54,False
Rae Ann SUBURBAN,RAE ANN SUBURBAN,,RAE ANN SUBURBAN,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAE ANN SUBURBAN,100,True
Rae Ann Westlake,RAE ANN WESTLAKE,,RAE ANN WESTLAKE,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAE ANN WESTLAKE,100,True
Riverview point care center,RIVERVIEW POINTE CARE CENTER,x,RIVERVIEW POINTE CARE CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVERVIEW POINTE CARE CENTER,100,True
Rocky River Gardens,ROCKY RIVER GARDENS REHABILITATION AND NURSING CENTER,,ROCKY RIVER GARDENS REHABILITATION AND NURSING CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCKY RIVER GARDENS REHABILITATION AND NURSING CENTER,100,True
Seven Hills Health and Rehab,SEVEN HILLS HEALTH AND REHABILITATION CENTER,,SEVEN HILLS HEALTH AND REHABILITATION CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEVEN HILLS HEALTH AND REHABILITATION CENTER,100,True
Shaker Gardens,SHAKER GARDENS NURSING AND REHABILITATION CENTER,,SHAKER GARDENS NURSING AND REHABILITATION CENTER,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAKER GARDENS NURSING AND REHABILITATION CENTER,100,True
Singleton Nursing Home,SINGLETON NURSING HOME,,SINGLETON NURSING HOME,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SINGLETON NURSING HOME,100,True
Slovene Home for the Aged,SLOVENE HOME FOR THE AGED,,SLOVENE HOME FOR THE AGED,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLOVENE HOME FOR THE AGED,100,True
Solon Pointe,SOLON POINTE AT EMERALD RIDGE,,SOLON POINTE AT EMERALD RIDGE,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLON POINTE AT EMERALD RIDGE,100,True
Southern Hills,SOUTHERN HILLS HEALTH AND REHABILITATION,,SOUTHERN HILLS HEALTH AND REHABILITATION,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTHERN HILLS HEALTH AND REHABILITATION,100,True
St Augustine Health Campus,ST AUGUSTINE HEALTH CAMPUS,,ST AUGUSTINE HEALTH CAMPUS,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST AUGUSTINE HEALTH CAMPUS,100,True
Stone Gardens - Menorah Park,STONE GARDENS - MENORAH PARK CENTER HEALTH CARE AND REHABILITATION CENTER FOR SENIOR,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDLEWOOD HEALTHCARE AND REHABILITATION,86,False
Stratford Care and Rehab,STRATFORD CARE AND REHABILITATION,,STRATFORD CARE AND REHABILITATION,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRATFORD CARE AND REHABILITATION,100,True
Suburban Healthcare CANDLEWOOD,SUBURBAN HEALTHCARE CANDLEWOOD,,SUBURBAN HEALTHCARE CANDLEWOOD,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUBURBAN HEALTHCARE CANDLEWOOD,100,True
Sunrise Point at Maple Heights,SUNRISE POINTE NURSING AND REHABILITATION,,SUNRISE POINTE NURSING AND REHABILITATION,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNRISE POINTE NURSING AND REHABILITATION,100,True
Sunrise at Parma,SUNRISE AT PARMA,,,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVENUE AT BROADVIEW HEIGHTS,86,False
Symphony at Olmsted Falls,SYMPHONY AT OLMSTED FALLS,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VILLAGE OF THE FALLS,49,False
THE FOUNTAINS ASSISTED LIVING,THE FOUNTAINS ASSISTED LIVING,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HANNA HOUSE SKILLED NURSING CE,47,False
THE GREENS,THE GREENS CARE AND REHABILITATION,,THE GREENS CARE AND REHABILITATION,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE GREENS CARE AND REHABILITATION,100,True
THE INN AT JOSHUA TREE,THE INN AT JOSHUA TREE CARE CENTER,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH PARK CARE CENTER,86,False
THE LAURELS AT CHAGRIN FALLS,THE LAURELS OF CHAGRIN FALLS,,THE LAURELS OF CHAGRIN FALLS,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE LAURELS OF CHAGRIN FALLS,100,True
THE PAVILION AT NORTH ROYALTON,THE PAVILION REHABILITATION AND NURSING CENTER,x,THE PAVILION REHABILITATION AND NURSING CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE PAVILION REHABILITATION AND NURSING CENTER,100,True
The Fountains Assisted Living,THE FOUNTAINS ASSISTED LIVING,,,20201022,OH,CUYAHOGA,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HANNA HOUSE SKILLED NURSING CE,47,False
The Heights Rehab and Healthcare,HEIGHTS REHABILITATION AND HEALTHCARE CENTER,x,HEIGHTS REHABILITATION AND HEALTHCARE CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEIGHTS REHABILITATION AND HEALTHCARE CENTER,100,True
The Inn at Joshua Tree,THE INN AT JOSHUA TREE CARE CENTER,,,20201022,OH,CUYAHOGA,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH PARK CARE CENTER,86,False
The Renaissance Retirement Campus,THE RENAISSANCE RETIREMENT CAMPUS,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VILLAGE OF THE FALLS,86,False
The Willows,WILLOWS HEALTH AND REHABILITATION CENTER,x,WILLOWS HEALTH AND REHABILITATION CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOWS HEALTH AND REHABILITATION CENTER,100,True
The Woods at Solon Pointe,THE WOODS AT SOLON POINTE AT EMERALD RIDGE,,,20201022,OH,CUYAHOGA,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVENUE AT BROADVIEW HEIGHTS,86,False
University Manor,UNIVERSITY MANOR HEALTH AND REHABILITATION,,UNIVERSITY MANOR HEALTH AND REHABILITATION,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY MANOR HEALTH AND REHABILITATION,100,True
VILLAGE OF THE FALLS,VILLAGE OF THE FALLS,,VILLAGE OF THE FALLS,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VILLAGE OF THE FALLS,100,True
VISTA SPRINGS RAVINIA,VISTA SPRINGS RAVINIA,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE NURSING AND REHABILITATION CENTER,47,False
VITALIA SENOIR RESIDENCE WESTLAKE,VITALIA SENOIR RESIDENCE WESTLAKE,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTLAKE VILLAGE CARE CENTER,63,False
Villa St Joseph,VILLA ST JOSEPH,,VILLA ST JOSEPH,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VILLA ST JOSEPH,100,True
Vista Springs Ravinia,VISTA SPRINGS RAVINIA,,,20201022,OH,CUYAHOGA,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE NURSING AND REHABILITATION CENTER,47,False
WALTON MANOR,WALTON MANOR HEALTH CARE CENTER,,WALTON MANOR HEALTH CARE CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALTON MANOR HEALTH CARE CENTER,100,True
WELSH HOME,WELSH HOME,,WELSH HOME,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELSH HOME,100,True
WESTLAKE REHAB,WESTLAKE REHABILITATION AND NURSING CENTER,x,WESTLAKE REHABILITATION AND NURSING CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTLAKE REHABILITATION AND NURSING CENTER,100,True
WILLOW PARK,WILLOW PARK CONVALESCENT HOME,x,WILLOW PARK CONVALESCENT HOME,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOW PARK CONVALESCENT HOME,100,True
WOODLANDS OF SHAKER HEIGHTS,WOODLANDS OF SHAKER HEIGHTS,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVENUE AT BROADVIEW HEIGHTS,53,False
Warrensville Developmental Center,WARRENSVILLE DEVELOPMENTAL CENTER,,,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH PARK CARE CENTER,86,False
Westbrook Place,WESTBROOK PLACE REHABILITATION AND NURSING CENTER.,x,WESTBROOK PLACE REHABILITATION AND NURSING CENTER.,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTBROOK PLACE REHABILITATION AND NURSING CENTER.,100,True
Westpark Neurology and Rehab Center,WESTPARK NEUROLOGY AND REHABILITATION CENTER,,WESTPARK NEUROLOGY AND REHABILITATION CENTER,20201104,OH,CUYAHOGA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTPARK NEUROLOGY AND REHABILITATION CENTER,100,True
Windsor Heights,WINDSOR HEIGHTS,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVENUE AT BROADVIEW HEIGHTS,86,False
Windsor Heights - Beachwood,WINDSOR HEIGHTS - BEACHWOOD,,,20201022,OH,CUYAHOGA,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGENCY CARE OF LARCHWOOD,50,False
Woodlands of Shaker Heights,WOODLANDS OF SHAKER HEIGHTS,,,20201022,OH,CUYAHOGA,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVENUE AT BROADVIEW HEIGHTS,53,False
Woodside Senior Living,WOODSIDE SENIOR LIVING,,,20201104,OH,CUYAHOGA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HANNA HOUSE SKILLED NURSING CE,42,False
Brethren Retirement Community,BRETHREN RETIREMENT COMMUNITY,,BRETHREN RETIREMENT COMMUNITY,20201104,OH,DARKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRETHREN RETIREMENT COMMUNITY,100,True
Brookdale Senior Living,BROOKDALE SENIOR LIVING,,,20201104,OH,DARKE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REST HAVEN NURSING HOME,39,False
Greenville HealthCare and Rehab,GREENVILLE HEALTHCARE AND REHABILITATION,,GREENVILLE HEALTHCARE AND REHABILITATION,20201104,OH,DARKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREENVILLE HEALTHCARE AND REHABILITATION,100,True
Rest Haven,REST HAVEN,,,20201104,OH,DARKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REST HAVEN NURSING HOME,90,False
UCM Residential Services,UCM RESIDENTIAL SERVICES,,,20201104,OH,DARKE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNION CITY CARE CENTER,43,False
Versailles Rehabilitation and HealthCare Center,VERSAILLES REHABILITATION AND HEALTH CARE CENTER,,VERSAILLES REHABILITATION AND HEALTH CARE CENTER,20201104,OH,DARKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERSAILLES REHABILITATION AND HEALTH CARE CENTER,100,True
Village Green,VILLAGE GREEN HEALTH CAMPUS,,VILLAGE GREEN HEALTH CAMPUS,20201104,OH,DARKE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VILLAGE GREEN HEALTH CAMPUS,100,True
Brookview Healthcare Center,BROOKVIEW HEALTHCARE CENTER,,BROOKVIEW HEALTHCARE CENTER,20201104,OH,DEFIANCE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKVIEW HEALTHCARE CENTER,100,True
Hickory Creek at Hicksville,HICKORY CREEK AT HICKSVILLE,,HICKORY CREEK AT HICKSVILLE,20201104,OH,DEFIANCE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HICKORY CREEK AT HICKSVILLE,100,True
Laurels of Defiance,LAURELS OF DEFIANCE,,LAURELS OF DEFIANCE,20201104,OH,DEFIANCE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF DEFIANCE,100,True
SKLD Defiance,SKLD DEFIANCE ILLUMINATE HEALTH CARE DEFIANCE,,SKLD DEFIANCE ILLUMINATE HEALTH CARE DEFIANCE,20201104,OH,DEFIANCE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKLD DEFIANCE ILLUMINATE HEALTH CARE DEFIANCE,100,True
Arbors at Delaware,ARBORS AT DELAWARE,,ARBORS AT DELAWARE,20201104,OH,DELAWARE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARBORS AT DELAWARE,100,True
Capri Gardens,CAPRI GARDENS,,CAPRI GARDENS,20201104,OH,DELAWARE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPRI GARDENS,100,True
Country-View of Sunbury,COUNTRY-VIEW OF SUNBURY,,,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY VIEW OF SUNBURY,100,False
Delaware Court Health Care Center,DELAWARE COURT HEALTH CARE CENTER,,DELAWARE COURT HEALTH CARE CENTER,20201104,OH,DELAWARE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DELAWARE COURT HEALTH CARE CENTER,100,True
First and Main Lewis Center,FIRST AND MAIN LEWIS CENTER,,,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHERITH CARE CENTER AT WILLOW BROOK,46,False
Ganzhorn Suites,GANZHORN SUITES,,,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHIO LIVING SARAH MOORE,36,False
Inn at Bear Trail,INN AT BEAR TRAIL,,,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHERITH CARE CENTER AT WILLOW BROOK,86,False
Inn at Olentangy Trail,INN AT OLENTANGY TRAIL,,,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHERITH CARE CENTER AT WILLOW BROOK,86,False
Powell Assisted Living and Memory Care,POWELL ASSISTED LIVING AND MEMORY CARE,,,20201104,OH,DELAWARE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHIO LIVING SARAH MOORE,86,False
Willowbrook at Delaware Run,WILLOWBROOK AT DELAWARE RUN,,,20201104,OH,DELAWARE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHERITH CARE CENTER AT WILLOW BROOK,46,False
Admiral's Pointe,ADMIRAL'S POINTE,,ADMIRAL'S POINTE,20201104,OH,ERIE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADMIRAL'S POINTE,100,True
Commons of Providence,COMMONS OF PROVIDENCE,,,20201104,OH,ERIE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROVIDENCE CARE CENTER,62,False
Concord Care,CONCORD CARE AND REHABILITATION CENTER,,CONCORD CARE AND REHABILITATION CENTER,20201104,OH,ERIE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCORD CARE AND REHABILITATION CENTER,100,True
Kingston of Vermilion,KINGSTON OF VERMILION,,KINGSTON OF VERMILION,20201104,OH,ERIE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISTA CARE CENTER OF MILAN,51,False
Parkvue,PARKVUE HEALTH CARE CENTER,,PARKVUE HEALTH CARE CENTER,20201104,OH,ERIE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARKVUE HEALTH CARE CENTER,100,True
Portland Place,PORTLAND PLACE,,,20201104,OH,ERIE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE MEADOWS AT OSBORN PARK,40,False
Providence Care Center,PROVIDENCE CARE CENTER,,PROVIDENCE CARE CENTER,20201104,OH,ERIE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROVIDENCE CARE CENTER,100,True
