Facility Name,Facility Name Normalized,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score
JJS AFC LLC,JJS AFC,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARGENTINE CARE CENTER,39
JJS AFC LLC,JJS AFC,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARGENTINE CARE CENTER,39
Kith Haven,KITH HAVEN,KITH HAVEN,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITH HAVEN,100
Kith Haven,KITH HAVEN,KITH HAVEN,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITH HAVEN,100
Landings of Genesee Valley,LANDINGS OF GENESEE VALLEY,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,48
Landings of Genesee Valley,LANDINGS OF GENESEE VALLEY,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,48
Leighton House Inn Linden,LEIGHTON HOUSE INN LINDEN,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,60
Leighton House Inn Linden,LEIGHTON HOUSE INN LINDEN,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,60
Living Joy AL,LIVING JOY AL,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,49
Living Joy AL,LIVING JOY AL,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,49
Maple Place,MAPLE PLACE,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPLE WOODS MANOR,86
Maple Place,MAPLE PLACE,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPLE WOODS MANOR,86
Maple Woods Manor,MAPLE WOODS MANOR,MAPLE WOODS MANOR,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPLE WOODS MANOR,100
Maple Woods Manor,MAPLE WOODS MANOR,MAPLE WOODS MANOR,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPLE WOODS MANOR,100
Marie Manor,MARIE MANOR,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE MANOR HEALTHCARE CENTER,86
Marie Manor,MARIE MANOR,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE MANOR HEALTHCARE CENTER,86
McFarlan Home,MCFARLAN HOME,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTLAND HEALTH CARE CENTER - BRIARWOOD,56
McFarlan Home,MCFARLAN HOME,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTLAND HEALTH CARE CENTER - BRIARWOOD,56
Medilodge of Grand Blanc,MEDILODGE OF GRAND BLANC,MEDILODGE OF GRAND BLANC,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GRAND BLANC,100
Medilodge of Grand Blanc,MEDILODGE OF GRAND BLANC,MEDILODGE OF GRAND BLANC,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GRAND BLANC,100
Medilodge of Montrose,MEDILODGE OF MONTROSE,MEDILODGE OF MONTROSE,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MONTROSE,100
Medilodge of Montrose,MEDILODGE OF MONTROSE,MEDILODGE OF MONTROSE,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF MONTROSE,100
Monet House Inn Linden,MONET HOUSE INN LINDEN,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,64
Monet House Inn Linden,MONET HOUSE INN LINDEN,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,64
Paragon NPHC,PARAGON NPHC,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARGENTINE CARE CENTER,45
Paragon NPHC,PARAGON NPHC,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARGENTINE CARE CENTER,45
Pearl Manor,PEARL MANOR,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE MANOR HEALTHCARE CENTER,86
Pearl Manor,PEARL MANOR,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE MANOR HEALTHCARE CENTER,86
Regency at Grand Blanc,REGENCY AT GRAND BLANC,REGENCY AT GRAND BLANC,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGENCY AT GRAND BLANC,100
Regency at Grand Blanc,REGENCY AT GRAND BLANC,REGENCY AT GRAND BLANC,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGENCY AT GRAND BLANC,100
Springvale Assisted Living,SPRINGVALE ASSISTED LIVING,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGENCY AT GRAND BLANC,42
Springvale Assisted Living,SPRINGVALE ASSISTED LIVING,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGENCY AT GRAND BLANC,42
Sugarbush Manor,SUGARBUSH MANOR,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE MANOR HEALTHCARE CENTER,86
Sugarbush Manor,SUGARBUSH MANOR,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE MANOR HEALTHCARE CENTER,86
Swank Home Assisted Living,SWANK HOME ASSISTED LIVING,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,38
Swank Home Assisted Living,SWANK HOME ASSISTED LIVING,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,38
The Cottage of Davison,THE COTTAGE OF DAVISON,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,48
The Cottage of Davison,THE COTTAGE OF DAVISON,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,48
The Oaks at Woodfield,THE OAKS AT WOODFIELD,THE OAKS AT WOODFIELD,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,100
The Oaks at Woodfield,THE OAKS AT WOODFIELD,THE OAKS AT WOODFIELD,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,100
The Oaks at Woodfield HFA,THE OAKS AT WOODFIELD HFA,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,95
The Oaks at Woodfield HFA,THE OAKS AT WOODFIELD HFA,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,95
The Pines Of Burton,THE PINES OF BURTON,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,54
The Pines Of Burton,THE PINES OF BURTON,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,54
The Pines Of Burton - Memory,THE PINES OF BURTON - MEMORY,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,48
The Pines Of Burton - Memory,THE PINES OF BURTON - MEMORY,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,48
The Pines Of Burton Memory - South,THE PINES OF BURTON MEMORY - SOUTH,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,86
The Pines Of Burton Memory - South,THE PINES OF BURTON MEMORY - SOUTH,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,86
The Pines Of Goodrich,THE PINES OF GOODRICH,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,52
The Pines Of Goodrich,THE PINES OF GOODRICH,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,52
The Pines Of Goodrich Memory,THE PINES OF GOODRICH MEMORY,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,49
The Pines Of Goodrich Memory,THE PINES OF GOODRICH MEMORY,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,49
The Riverglens,THE RIVERGLENS,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,86
The Riverglens,THE RIVERGLENS,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE OAKS AT WOODFIELD,86
Van Gogh House Inn Linden,VAN GOGH HOUSE INN LINDEN,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,55
Van Gogh House Inn Linden,VAN GOGH HOUSE INN LINDEN,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,55
Vicinia Gardens Assisted Living of Fenton LLC,VICINIA GARDENS ASSISTED LIVING OF FENTON,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,86
Vicinia Gardens Assisted Living of Fenton LLC,VICINIA GARDENS ASSISTED LIVING OF FENTON,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARETEL INNS OF LINDEN,86
Vicinia Gardens Memory of Fenton,VICINIA GARDENS MEMORY OF FENTON,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FENTON HEALTHCARE,86
Vicinia Gardens Memory of Fenton,VICINIA GARDENS MEMORY OF FENTON,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FENTON HEALTHCARE,86
Vicinia Gardens Transition,VICINIA GARDENS TRANSITION,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITH HAVEN,45
Vicinia Gardens Transition,VICINIA GARDENS TRANSITION,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITH HAVEN,45
Wellbridge of Fenton,WELLBRIDGE OF FENTON,WELLBRIDGE OF FENTON,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLBRIDGE OF FENTON,100
Wellbridge of Fenton,WELLBRIDGE OF FENTON,WELLBRIDGE OF FENTON,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLBRIDGE OF FENTON,100
Wellbridge of Grand Blanc ,WELLBRIDGE OF GRAND BLANC ,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLBRIDGE OF GRAND BLANC,100
Wellbridge of Grand Blanc ,WELLBRIDGE OF GRAND BLANC ,,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WELLBRIDGE OF GRAND BLANC,100
Willowbrook Manor,WILLOWBROOK MANOR,WILLOWBROOK MANOR,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOWBROOK MANOR,100
Willowbrook Manor,WILLOWBROOK MANOR,WILLOWBROOK MANOR,20201112,MI,GENESEE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOWBROOK MANOR,100
Gladwin Nursing & Rehab. Community,GLADWIN NURSING AND REHABILITATION COMMUNITY,GLADWIN NURSING AND REHABILITATION COMMUNITY,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN NURSING AND REHABILITATION COMMUNITY,100
Gladwin Nursing & Rehab. Community,GLADWIN NURSING AND REHABILITATION COMMUNITY,GLADWIN NURSING AND REHABILITATION COMMUNITY,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN NURSING AND REHABILITATION COMMUNITY,100
Gladwin Pines Nursing Home,GLADWIN PINES NURSING HOME,GLADWIN PINES NURSING HOME,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN PINES NURSING HOME,100
Gladwin Pines Nursing Home,GLADWIN PINES NURSING HOME,GLADWIN PINES NURSING HOME,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN PINES NURSING HOME,100
Heavenly Homestead Adult Foster Care-South,HEAVENLY HOMESTEAD ADULT FOSTER CARE-SOUTH,,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN NURSING AND REHABILITATION COMMUNITY,37
Heavenly Homestead Adult Foster Care-South,HEAVENLY HOMESTEAD ADULT FOSTER CARE-SOUTH,,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN NURSING AND REHABILITATION COMMUNITY,37
The Horizon Senior Living V,THE HORIZON SENIOR LIVING V,,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN PINES NURSING HOME,38
The Horizon Senior Living V,THE HORIZON SENIOR LIVING V,,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN PINES NURSING HOME,38
The Horizon Senior Living VI,THE HORIZON SENIOR LIVING VI,,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN NURSING AND REHABILITATION COMMUNITY,39
The Horizon Senior Living VI,THE HORIZON SENIOR LIVING VI,,20201112,MI,GLADWIN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLADWIN NURSING AND REHABILITATION COMMUNITY,39
Gogebic Medical Care Facility ,GOGEBIC MEDICAL CARE FACILITY,GOGEBIC MEDICAL CARE FACILITY,20201112,MI,GOGEBIC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOGEBIC MEDICAL CARE FACILITY,100
Gogebic Medical Care Facility ,GOGEBIC MEDICAL CARE FACILITY,GOGEBIC MEDICAL CARE FACILITY,20201112,MI,GOGEBIC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOGEBIC MEDICAL CARE FACILITY,100
Keen Agers Inc Afc,KEEN AGERS INC AFC,,20201112,MI,GOGEBIC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTGATE NURSING AND REHABILITATION COMMUNITY,45
Keen Agers Inc Afc,KEEN AGERS INC AFC,,20201112,MI,GOGEBIC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTGATE NURSING AND REHABILITATION COMMUNITY,45
Westgate Living Center,WESTGATE LIVING CENTER,,20201112,MI,GOGEBIC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTGATE NURSING AND REHABILITATION COMMUNITY,86
Westgate Living Center,WESTGATE LIVING CENTER,,20201112,MI,GOGEBIC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTGATE NURSING AND REHABILITATION COMMUNITY,86
Westgate Nursing & Rehab Community,WESTGATE NURSING AND REHABILITATION COMMUNITY,WESTGATE NURSING AND REHABILITATION COMMUNITY,20201112,MI,GOGEBIC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTGATE NURSING AND REHABILITATION COMMUNITY,100
Westgate Nursing & Rehab Community,WESTGATE NURSING AND REHABILITATION COMMUNITY,WESTGATE NURSING AND REHABILITATION COMMUNITY,20201112,MI,GOGEBIC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTGATE NURSING AND REHABILITATION COMMUNITY,100
Bay Ridge Assisted Living,BAY RIDGE ASSISTED LIVING,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,41
Bay Ridge Assisted Living,BAY RIDGE ASSISTED LIVING,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,41
Boardman Lake Glens:  Brigadoon,BOARDMAN LAKE GLENS:  BRIGADOON,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,40
Boardman Lake Glens:  Brigadoon,BOARDMAN LAKE GLENS:  BRIGADOON,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,40
Boardman Lake Glens:  Inverness,BOARDMAN LAKE GLENS:  INVERNESS,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,47
Boardman Lake Glens:  Inverness,BOARDMAN LAKE GLENS:  INVERNESS,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,47
Cherry Hill Haven,CHERRY HILL HAVEN,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE VILLA AT TRAVERSE POINT,50
Cherry Hill Haven,CHERRY HILL HAVEN,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE VILLA AT TRAVERSE POINT,50
Cherry Hill Haven III,CHERRY HILL HAVEN III,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE VILLA AT TRAVERSE POINT,50
Cherry Hill Haven III,CHERRY HILL HAVEN III,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE VILLA AT TRAVERSE POINT,50
Culver Meadows Adult Foster Care,CULVER MEADOWS ADULT FOSTER CARE,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF TRAVERSE CITY,41
Culver Meadows Adult Foster Care,CULVER MEADOWS ADULT FOSTER CARE,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF TRAVERSE CITY,41
Culver Meadows Senior Living,CULVER MEADOWS SENIOR LIVING,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,38
Culver Meadows Senior Living,CULVER MEADOWS SENIOR LIVING,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,38
Grand Traverse Pavilions,GRAND TRAVERSE PAVILIONS,GRAND TRAVERSE PAVILIONS,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,100
Grand Traverse Pavilions,GRAND TRAVERSE PAVILIONS,GRAND TRAVERSE PAVILIONS,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,100
Green Acres,GREEN ACRES,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,50
Green Acres,GREEN ACRES,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAND TRAVERSE PAVILIONS,50
Joy Givers,JOY GIVERS,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF TRAVERSE CITY,54
Joy Givers,JOY GIVERS,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF TRAVERSE CITY,54
Meadow Hill AFC,MEADOW HILL AFC,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GRAND TRAVERSE COUNTY,42
Meadow Hill AFC,MEADOW HILL AFC,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GRAND TRAVERSE COUNTY,42
Medilodge of Grand Traverse County,MEDILODGE OF GRAND TRAVERSE COUNTY,MEDILODGE OF GRAND TRAVERSE COUNTY,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GRAND TRAVERSE COUNTY,100
Medilodge of Grand Traverse County,MEDILODGE OF GRAND TRAVERSE COUNTY,MEDILODGE OF GRAND TRAVERSE COUNTY,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GRAND TRAVERSE COUNTY,100
Medilodge of Traverse City,MEDILODGE OF TRAVERSE CITY,MEDILODGE OF TRAVERSE CITY,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF TRAVERSE CITY,100
Medilodge of Traverse City,MEDILODGE OF TRAVERSE CITY,MEDILODGE OF TRAVERSE CITY,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF TRAVERSE CITY,100
The Villa at Traverse Point,THE VILLA AT TRAVERSE POINT,THE VILLA AT TRAVERSE POINT,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE VILLA AT TRAVERSE POINT,100
The Villa at Traverse Point,THE VILLA AT TRAVERSE POINT,THE VILLA AT TRAVERSE POINT,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE VILLA AT TRAVERSE POINT,100
West Shore AFC Home,WEST SHORE AFC HOME,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF TRAVERSE CITY,38
West Shore AFC Home,WEST SHORE AFC HOME,,20201112,MI,GRAND TRAVERSE,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF TRAVERSE CITY,38
