,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Geolocation
8017,05/31/2020,056229,PALM SPRINGS HEALTHCARE & REHABILITATION CENTER,277 S SUNRISE WAY,PALM SPRINGS,CA,92262.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,80.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,13.0,8.0,Y,Y,0.0,0.0,,POINT (-116.52822700000002 33.820023)
8018,05/31/2020,195563,SOUTHWIND NURSING & REHABILITATION CENTER,804 CROWLEY-RAYNE HWY,CROWLEY,LA,70526.0,Y,N,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,112.0,108.0,Y,Y,Y,N,2.0,7.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-92.362534 30.222393)
8019,05/31/2020,285119,DUNKLAU GARDENS,450 EAST 23RD STREET,FREMONT,NE,68025.0,Y,Y,0.0,0.0,3.0,17.0,4.0,12.0,0.0,0.0,0.0,0.0,106.0,78.0,Y,N,Y,N,8.0,49.0,2.0,7.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,217.9,0.0,0.0,POINT (-96.492473 41.451464)
8020,05/31/2020,245127,MILLE LACS HEALTH SYSTEM,200 NORTH ELM STREET,ONAMIA,MN,56359.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,46.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,Y,Y,N,,,,,,,,,,,,,,,,,,0.0,0.0,,POINT (-93.661823 46.072467)
8023,05/31/2020,145413,APERION CARE TOLUCA,101 EAST VIA GHIGLIERI,TOLUCA,IL,61369.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,79.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-89.132891 41.011224)
8024,05/31/2020,235441,SKLD WYOMING,625 36TH ST SW,WYOMING,MI,49509.0,Y,Y,0.0,0.0,0.0,1.0,0.0,3.0,5.0,7.0,0.0,0.0,92.0,82.0,Y,Y,Y,Y,0.0,0.0,0.0,8.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,12.2,0.0,0.0,POINT (-85.681566 42.898776)
8026,05/31/2020,24E116,ANDREW RESIDENCE,1215 SOUTH 9TH STREET,MINNEAPOLIS,MN,55404.0,Y,Y,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,212.0,200.0,Y,Y,Y,N,1.0,1.0,3.0,6.0,0.0,0.0,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-93.256795 44.967725)
8027,05/31/2020,145680,CENTENNIAL REHAB & HEALTHCARE,7300 34TH AVENUE,MOLINE,IL,61265.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-90.437932 41.478292)
8028,05/31/2020,215195,AUTUMN LAKE HEALTHCARE AT BRIDGEPARK,4017 LIBERTY HEIGHTS AVE.,BALTIMORE,MD,21207.0,Y,Y,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,77.0,Y,Y,Y,N,0.0,9.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,21.0,0.0,Y,Y,26.0,0.0,0.0,POINT (-76.687185 39.328731)
8034,05/31/2020,195497,RIVERVIEW CARE CENTER,4820 MEDICAL DRIVE,BOSSIER CITY,LA,71112.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,151.0,123.0,N,N,N,N,0.0,0.0,2.0,2.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-93.667627 32.462488)
8035,05/31/2020,265819,OAK TREE VILLAS-A STONEBRIDGE COMMUNITY,3108 WEST TRUMAN BOULEVARD,JEFFERSON CITY,MO,65109.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,23.0,N,N,N,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-92.235252 38.594495)
8037,05/31/2020,215240,MORAN  NURSING AND REHABILITATION CENTER,25701 SHADY LANE S. W.,WESTERNPORT,MD,21562.0,Y,Y,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,120.0,73.0,Y,Y,Y,N,0.0,0.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,13.7,0.0,0.0,POINT (-79.049929 39.49965)
8045,05/31/2020,145572,GRAHAM HOSPITAL,210 WEST WALNUT STREET,CANTON,IL,61520.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-90.038115 40.553293)
8047,05/31/2020,045414,OZARK HEALTH NURSING AND REHAB  CENTER,2500 HIGHWAY 65 SOUTH,CLINTON,AR,72031.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,74.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-92.449913 35.559375)
8048,05/31/2020,065242,BROOKSHIRE HOUSE REHABILITATION AND CARE COMMUNITY,4660 E ASBURY CIR,DENVER,CO,80222.0,Y,Y,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,61.0,49.0,Y,Y,N,N,0.0,3.0,0.0,4.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,61.2,,POINT (-104.932815 39.679597)
8054,05/31/2020,305037,COURVILLE AT NASHUA,22 HUNT STREET,NASHUA,NH,3060.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,59.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-71.470885 42.746938)
8056,05/31/2020,175250,WELLSVILLE MANOR,304 W 7TH ST,WELLSVILLE,KS,66092.0,Y,Y,0.0,0.0,0.0,0.0,0.0,6.0,1.0,9.0,0.0,0.0,60.0,54.0,Y,Y,Y,N,0.0,0.0,1.0,5.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-95.08499600000002 38.716794)
8058,05/31/2020,255169,ADAMS COUNTY NURSING CENTER,587 JOHN R JUNKIN DRIVE,NATCHEZ,MS,39120.0,Y,N,0.0,1.0,1.0,11.0,0.0,0.0,0.0,10.0,0.0,16.0,100.0,59.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,,,,,186.4,271.2,145.5,POINT (-91.392686 31.533162)
8059,05/31/2020,105166,MADISON POINTE CARE CENTER,6020 INDIANA AVE,NEW PORT RICHEY,FL,34653.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,106.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-82.714932 28.253357)
8060,05/31/2020,145960,PRESENCE RESURRECTION LIFE CTR,7370 WEST TALCOTT AVENUE,CHICAGO,IL,60631.0,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,131.0,Y,N,Y,N,3.0,3.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,,,,,7.6,0.0,0.0,POINT (-87.811841 41.988106)
8062,05/31/2020,056024,HIGHLAND PALMS HEALTHCARE CENTER,7534 PALM AVENUE,HIGHLAND,CA,92346.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-117.208761 34.116958)
8064,05/31/2020,045289,"LONOKE HEALTH AND REHAB CENTER, LLC",1501 LINCOLN STREET,LONOKE,AR,72086.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-91.909268 34.771714)
8067,05/31/2020,055626,HEALTHCARE CENTRE OF FRESNO,1665 M STREET,FRESNO,CA,93721.0,Y,Y,0.0,0.0,0.0,0.0,7.0,11.0,2.0,7.0,0.0,0.0,155.0,139.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-119.794317 36.74268000000001)
8068,05/31/2020,195220,HERITAGE MANOR OF SLIDELL,106 MEDICAL CENTER DRIVE,SLIDELL,LA,70461.0,Y,N,1.0,8.0,9.0,34.0,0.0,17.0,0.0,0.0,0.0,0.0,120.0,85.0,Y,N,Y,Y,24.0,30.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,400.0,0.0,0.0,POINT (-89.744466 30.28756)
8069,05/31/2020,225430,ST PATRICK'S MANOR,863 CENTRAL STREET,FRAMINGHAM,MA,1701.0,Y,Y,1.0,21.0,7.0,162.0,0.0,50.0,4.0,72.0,4.0,26.0,303.0,220.0,Y,N,Y,N,2.0,82.0,0.0,10.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,736.4,118.2,16.0,POINT (-71.428575 42.307387)
8070,05/31/2020,115724,CHELSEY PARK HEALTH AND REHABILITATION,200 MOUNTAIN PARK DRIVE,DAHLONEGA,GA,30533.0,N,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-83.976728 34.524246)
8072,05/31/2020,235330,MEDILODGE OF LIVINGSTON,3003 W GRAND RIVER,HOWELL,MI,48843.0,Y,N,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,65.0,Y,N,Y,N,48.0,60.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,22.0,0.0,Y,Y,0.0,0.0,,POINT (-83.973171 42.620394)
8073,05/31/2020,155702,APERION CARE PERU,1850 WEST MATADOR ST,PERU,IN,46970.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.0,84.0,Y,Y,Y,Y,0.0,0.0,0.0,5.0,0.0,0.0,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,,,,,0.0,0.0,,POINT (-86.144834 40.672149)
8074,05/31/2020,145508,HIGHLAND HEALTH CARE CENTER,1450 26TH STREET,HIGHLAND,IL,62249.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,128.0,77.0,Y,N,Y,N,1.0,1.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-89.673765 38.726349)
8079,05/31/2020,155797,ASPEN PLACE HEALTH CAMPUS,2320 N MONTGOMERY ROAD,GREENSBURG,IN,47240.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,64.0,51.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-85.470196 39.358113)
8080,05/31/2020,195136,PROGRESSIVE CARE CENTER,2715 ALBERT L. BICKNELL DR,SHREVEPORT,LA,71103.0,Y,Y,0.0,0.0,2.0,11.0,0.0,0.0,1.0,5.0,1.0,5.0,81.0,31.0,Y,Y,Y,N,1.0,4.0,0.0,0.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,354.8,161.3,45.5,POINT (-93.77873100000001 32.486076)
8083,05/31/2020,165479,CALVIN COMMUNITY,4210 HICKMAN ROAD,DES MOINES,IA,50310.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-93.674689 41.614917)
8084,05/31/2020,055013,EISENBERG VILLAGE,18855 VICTORY BL,RESEDA,CA,91335.0,Y,Y,0.0,3.0,4.0,19.0,6.0,28.0,27.0,31.0,17.0,23.0,166.0,138.0,Y,Y,Y,N,10.0,31.0,3.0,31.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,137.7,166.7,121.1,POINT (-118.54375400000002 34.186602)
8085,05/31/2020,175452,ORCHARD GARDENS,1600 S. WOODLAWN BLVD,WICHITA,KS,67218.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-97.262146 37.664157)
8089,05/31/2020,215189,CALVERT MANOR CENTER FOR REHABILITATION AND HEALTH,1881 TELEGRAPH ROAD,RISING SUN,MD,21911.0,Y,Y,2.0,5.0,3.0,5.0,0.0,0.0,2.0,3.0,2.0,3.0,144.0,93.0,Y,Y,N,N,1.0,3.0,0.0,3.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,,53.8,32.3,60.0,POINT (-75.981551 39.70298)
8091,05/31/2020,225518,SIPPICAN HEALTHCARE CENTER,15 MILL STREET,MARION,MA,2738.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,123.0,88.0,Y,N,Y,N,0.0,2.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,,,,,0.0,0.0,,POINT (-70.77229 41.71456)
8094,05/31/2020,195485,HERITAGE MANOR OF HOUMA,1701 POLK ST.,HOUMA,LA,70360.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,120.0,100.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-90.736484 29.585065)
8095,05/31/2020,056415,LYNWOOD HEALTHCARE CENTER,3611 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262.0,Y,Y,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,67.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,14.9,0.0,0.0,POINT (-118.204575 33.930689)
8097,05/31/2020,145122,DOBSON PLAZA,120 DODGE AVENUE,EVANSTON,IL,60202.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.699593 42.019957)
8099,05/31/2020,26A490,FIESER NURSING CENTER,404 MAIN STREET,FENTON,MO,63026.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,37.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-90.436376 38.51337)
8100,05/31/2020,295102,ADVANCED HEALTH CARE OF HENDERSON,1285 E CACTUS AVENUE,LAS VEGAS,NV,89183.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,,,,POINT (-115.13696 35.999113)
8104,05/31/2020,315103,REGENCY GARDENS NURSING CENTER,296 HAMBURG TURNPIKE,WAYNE,NJ,7470.0,Y,Y,6.0,6.0,23.0,23.0,0.0,0.0,11.0,11.0,3.0,3.0,120.0,93.0,Y,N,Y,N,8.0,8.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,247.3,32.3,13.0,POINT (-74.207365 40.948342)
8105,05/31/2020,125029,SAMUEL MAHELONA MEMORIAL HOSPITAL,4800 KAWAIHAU ROAD,KAPAA,HI,96746.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,48.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-159.314204 22.087619)
8106,05/31/2020,215337,FAHRNEY-KEEDY MEMORIAL HOME,8507 MAPLEVILLE ROAD,BOONSBORO,MD,21713.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,89.0,Y,Y,Y,N,0.0,1.0,0.0,1.0,0.0,0.0,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-77.646876 39.549786)
8107,05/31/2020,235366,MISSION POINT NRSG & PHY REHAB CTR OF FOREST HILLS,1095 MEDICAL PARK DR,GRAND RAPIDS,MI,49506.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,Y,Y,N,N,3.0,3.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-85.557428 42.942952)
8108,05/31/2020,146034,SYMPHONY AT THE TILLERS,4390 ROUTE 71,OSWEGO,IL,60543.0,Y,Y,0.0,12.0,0.0,41.0,0.0,30.0,1.0,18.0,0.0,8.0,96.0,61.0,Y,Y,Y,N,0.0,12.0,0.0,19.0,0.0,7.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,672.1,131.1,19.5,POINT (-88.345982 41.679122)
8109,05/31/2020,315094,MERCERVILLE CENTER,2240 WHITEHORSE-MERCERVILLE ROAD,MERCERVILLE,NJ,8619.0,Y,Y,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,114.0,70.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,42.9,,POINT (-74.687332 40.229559)
8111,05/31/2020,115640,ST JOSEPH'S TRANSITIONAL CARE UNIT,11705 MERCY BOULEVARD,SAVANNAH,GA,31419.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-81.15279200000002 31.985079000000002)
8114,05/31/2020,195640,SAGE SPECIALTY HOSPITAL,8375 FLORIDA BLVD,DENHAM SPRINGS,LA,70726.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,1.0,0.0,Y,Y,,,,POINT (-90.918946 30.482858000000004)
8115,05/31/2020,015454,FAIRVIEW AT REDSTONE VILLAGE,12000 TURNMEYER DRIVE,HUNTSVILLE,AL,35803.0,Y,Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,56.0,45.0,Y,N,Y,N,0.0,0.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-86.559341 34.607304)
8118,05/31/2020,065209,WESTERN HILLS HEALTH CARE CENTER,1625 CARR ST,LAKEWOOD,CO,80214.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-105.090764 39.742416)
8119,05/31/2020,175202,"COLBY OPERATOR, LLC",105 EAST COLLEGE DRIVE,COLBY,KS,67701.0,Y,Y,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,30.0,N,N,N,N,0.0,0.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,,,,,0.0,0.0,,POINT (-101.04456 39.379761)
8121,05/31/2020,175127,LEGACY AT SALINA,623 S 3RD STREET,SALINA,KS,67401.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,40.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-97.605699 38.829625)
8124,05/31/2020,105982,CONSULATE HEALTH CARE OF PORT CHARLOTTE,18480 COCHRAN BLVD,PORT CHARLOTTE,FL,33948.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,106.0,Y,N,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-82.141214 27.003601)
8125,05/31/2020,30E076,COOS COUNTY NURSING HOSPITAL,136 COUNTY FARM ROAD,WEST STEWARTSTOWN,NH,3597.0,Y,Y,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,85.0,80.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-71.532509 44.989972)
8128,05/31/2020,225472,JEFFREY & SUSAN BRUDNICK CENTER FOR LIVING,240 LYNNFIELD STREET,PEABODY,MA,1960.0,Y,Y,0.0,7.0,0.0,13.0,0.0,0.0,1.0,18.0,0.0,17.0,144.0,90.0,Y,N,Y,N,1.0,13.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,144.4,188.9,130.8,POINT (-70.970625 42.515678)
8129,05/31/2020,105769,SOLARIS HEALTHCARE LAKE CITY,560 SW MCFARLANE AVE,LAKE CITY,FL,32055.0,Y,Y,0.0,0.0,0.0,2.0,0.0,4.0,2.0,5.0,0.0,0.0,120.0,101.0,Y,Y,Y,N,2.0,4.0,0.0,1.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,19.8,0.0,0.0,POINT (-82.649175 30.182271000000004)
8131,05/31/2020,245312,CASTLE RIDGE CARE CENTER,625 PRAIRIE CENTER DRIVE,EDEN PRAIRIE,MN,55344.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,60.0,55.0,Y,N,Y,N,0.0,1.0,0.0,1.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-93.434266 44.853494)
8140,05/31/2020,215347,MEADOW PARK REHABILITATION AND HEALTHCARE CENTER,1525 NORTH ROLLING ROAD,CATONSVILLE,MD,21228.0,Y,Y,2.0,19.0,8.0,25.0,4.0,6.0,3.0,6.0,2.0,4.0,120.0,110.0,Y,Y,Y,N,2.0,9.0,1.0,1.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,,,,,227.3,36.4,16.0,POINT (-76.754405 39.303974)
8142,05/31/2020,235498,"BOULEVARD TEMPLE CARE CENTER, LLC",2567 WEST GRAND BOULEVARD,DETROIT,MI,48208.0,Y,Y,2.0,16.0,0.0,35.0,0.0,14.0,1.0,4.0,0.0,2.0,124.0,84.0,Y,Y,Y,N,1.0,12.0,1.0,26.0,0.0,0.0,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,416.7,23.8,5.7,POINT (-83.091363 42.363583)
