NEW JERSEY LTC FACILITES WITH COVID-19 CASES,,,,,,
"(as of May 27, 2020)",,,,,,
"*Includes facilitiy reported COVID-19 Confirmed cases. Suspect cases are excluded.                                     Cluster, outbreak and case investigations are ongoing; information may be incomplete and subject to change",,,,,,
,,,,,,
,,,,,,
County,Facility Name,Municipality,"Number of COVID
Confirmed Residents","Number of COVID
Confirmed Staff","Number of COVID
Confirmed Deaths among Residents",Number of COVID Confirmed Deaths among Staff
Ocean,Complete Care at Whiting,Manchester,12,19,1,0
Ocean,The Chelsea at Toms River,Toms River Twp,3,2,1,0
Ocean,Tallwoods Care Center,Berkeley Twp,20,10,2,0
Ocean,Alcoeur Gardens at Brick,Brick Twp,10,4,2,0
Ocean,Barnegat Rehabilitation & Nursing Center,Barnetgat Twp,9,11,2,0
Ocean,Brandywine Living at the Gables,Brick Twp,1,3,2,0
Ocean,Spring Oak of Toms River,Toms River Twp,5,3,2,0
Ocean,Mystic Meadows Rehab & Nursing Center,Little Egg Harbor Twp,27,14,2,0
Ocean,Haven at Shorrock Gardens,Brick Twp,7,1,3,0
Ocean,Fountain View Care Center,Lakewood,68,20,4,0
Ocean,Complete Care at Bey Lea Assisted Living,Toms River Twp,18,9,4,0
Ocean,Complete Care at Holiday City,Toms River Twp,24,27,6,0
Ocean,The Chelsea at Brick,Brick Twp,22,14,6,0
Ocean,Alcoeur Gardens at Toms River,Toms River Twp,18,6,8,0
Ocean,Shore Meadows Rehabilitation and Nursing center,Toms River Twp,28,5,8,0
Ocean,Arbors Care Center,Manchester,28,18,8,0
Ocean,Atlantic Coast Rehabilitation & Healthcare,Lakewood,98,15,10,0
Ocean,Rose Garden Nursing and Rehabilitation Center,Toms River Twp,41,28,10,0
Ocean,Crestwood Manor,Manchester,46,13,12,0
Ocean,Southern Ocean Center,Stafford,55,15,13,0
Ocean,Leisure Park Health Center,Lakewood,30,8,13,1
Ocean,Complete Care at Laurelton,Brick Twp,77,21,13,0
Ocean,Hampton Ridge Healthcare and Rehab,Toms River Twp,93,39,15,0
Ocean,AristaCare at Manchester,Manchester,81,37,15,0
Ocean,Complete Care at Green Acres,Toms River Twp,69,38,15,0
Ocean,Crest Pointe Rehabilitation and Healthcare Center,Point Pleasant,84,22,15,0
Ocean,Complete Care at Bey Lea,Toms River Twp,71,25,16,0
Ocean,Concord Healthcare & Rehabilitation Center,Lakewood,52,14,18,0
Ocean,AristaCare at Whiting,Manchester,88,29,18,0
Ocean,Leisure Chateau Care and Rehab Center,Lakewood,76,43,19,0
Ocean,Meridian Nursing and Rehab,Brick Twp,56,31,20,0
Ocean,Willow Springs Healthcare & Rehabilitation Center,Brick Twp,60,25,23,0
Ocean,Crystal Lake Rehabilitation & Healthcare Center,Berkeley Twp,63,47,25,0
Ocean,Complete Care at Shorrock Gardens,Brick Twp,60,32,28,1
Ocean,Bartley Healthcare Nursing and Rehabilitation,Jackson Twp,137,34,42,0
Passaic,Brookdale Senior Living of Wayne,Wayne,1,7,0,0
Passaic,Chelsea at Bald Eagle,West Milford,6,5,1,0
Passaic,Regency Gardens Nursing and Post-Acute Rehabilitation Center,Wayne,39,30,1,0
Passaic,Doctors Sub Acute Care,Paterson,30,19,1,0
Passaic,Arden Courts of Wayne,Wayne,6,7,1,0
Passaic,The Bristal at Wayne,Wayne,9,10,2,1
Passaic,Arbor Ridge Rehabilitation and Healthcare Center,Wayne,22,8,5,0
Passaic,St Joseph's Home for the Elderly,Totowa,22,28,6,1
Passaic,Sunrise Assisted Living Of Wayne,Wayne,12,9,7,0
Passaic,Complete Care at Fair Lawn Edge,Paterson,13,13,7,0
Passaic,Chestnut Hill Residence,Passaic,22,12,7,0
Passaic,Phoenix Center for Rehabilitation and Pediatrics (Formerly named Wanaque Center),Wanaque,30,18,8,0
Passaic,Holland Christian Home,North Haledon,32,49,9,1
Passaic,Complete Care at Hamilton Plaza,Passaic,51,56,14,2
Passaic,Lakeview Rehabilitation and Care Center,Wayne,33,18,15,0
Passaic,The Health Center at Bloomingdale,Bloomingdale,50,14,18,0
Passaic,Chestnut Hill Convalescent Center,Passaic,58,41,18,0
Passaic,Care One at Wayne,Wayne,53,21,18,1
Passaic,Milford Manor,West Milford,60,12,19,0
Passaic,Atrium Post Acute Care Of WayneView,Wayne,74,41,20,3
Passaic,Preakness Healthcare Center,Wayne,109,94,21,0
Passaic,Llanfair House Care and Rehabilitation Center,Wayne,63,33,27,1
Passaic,Lakeland Healthcare Center,Wanaque,86,23,29,3
Passaic,Daughters of Miriam,Clifton,112,45,35,0
Passaic,Atrium Post-Acute of Wayne,Wayne,103,26,38,0
Salem,Eagleview Health and Rehab,Pittsgrove,3,1,0,0
Salem,Friends Village at Woodstown,Woodstown,17,13,4,0
Salem,SOUTHGATE HEALTH CARE CENTER,Carneys Point,12,6,4,0
Salem,Merion Gardens Assisted Living,Carneys Point,13,6,6,0
Salem,Carneys Point Care Center,Carneys Point,64,32,8,0
Somerset,Rehab at River's Edge,Raritan,0,0,0,0
Somerset,Complete Care at Green Knoll,Bridgewater,0,16,0,0
Somerset,Somerset Woods Rehabilitation & Nursing Center,Franklin Twp,1,4,0,0
Somerset,The Avalon at Bridgewater,Bridgewater,1,1,0,0
Somerset,Brandywine Living at Mountain Ridge,Watchung,1,7,1,0
Somerset,Avalon Assisted Living at Hillsborough,Hillsborough,15,8,1,0
Somerset,Brandywine Living at Middlebrook Crossing,Bridgewater,11,6,3,0
Somerset,Fox Trail Senior Living,Green Brook Twp,4,2,4,0
Somerset,Fellowship Village Senior Living,Bernards Twp,19,33,4,0
Somerset,Green Brook Regional,Green Brook Twp,35,98,5,0
Somerset,Parker at Somerset,Franklin Twp,23,37,5,0
Somerset,Sunrise of Basking Ridge,Bernards Twp,9,7,5,0
Somerset,All American Assisted Living at Hillsborough,Hillsborough,20,8,5,0
Somerset,Stonebridge at Montgomery,Montgomery,16,30,5,0
Somerset,Brightview at Warren Assisted Living,Warren Twp,8,8,5,0
Somerset,Mc Auley Hall Health Center,Watchung,22,19,6,0
Somerset,New Jersey Eastern Star Home,Bridgewater,34,14,6,0
Somerset,Sunrise of Bridgewater,Bridgewater,17,9,6,0
Somerset,Care One at Somerset Valley AL,Bound Brook,29,8,7,0
Somerset,The Chelsea at Warren,Warren Twp,23,10,7,0
Somerset,The Arbor at Laurel Circle,Bridgewater,22,7,7,0
Somerset,Brookdale Hillsborough,Hillsborough,16,13,7,0
Somerset,Bridgeway Care And Rehabilitation Center At Hillsborough,Hillsborough,21,26,8,0
Somerset,Regency Jewish Heritage Post Acute Rehab and Nursing Center,Franklin Twp,33,16,12,0
Somerset,CareOne at Somerset Valley Rehabilitation Facility,Bound Brook,59,22,12,1
Somerset,Spring Hills Assisted Living Facility Somerset,Franklin Twp,37,15,13,0
Somerset,"Martin and Edith Stein Assisted Living Residence, Inc.",Franklin Twp,36,5,14,0
Somerset,"Willow Creek Rehabilitation and Care
Center",Franklin Twp,56,13,15,0
Somerset,Bridgeway Care And Rehabilitation Center At Bridgewater,Bridgewater,76,30,19,0
Somerset,Abingdon Care and Rehabilitation Center,Green Brook Twp,98,29,24,1
Somerset,Foothill Acres Rehabilitation and Nursing Center,Hillsborough,83,19,34,0
Somerset,Lyons Campus of the VA New Jersey Health Care System,Bernards Twp,126,44,39,5
Sussex,Barn Hill Care Center,Newton,5,11,0,1
Sussex,Valley View Rehabilitation and Health Care Center,Newton,16,7,8,1
Sussex,Andover Subacute and Rehab Center I,Andover Twp,29,22,16,1
Sussex,Homestead Rehabilitation and Health Care Center,Frankford,56,10,19,0
Sussex,Andover Subacute and Rehab Center II,Andover Twp,141,67,58,1
Union,Children's Specialized Hospital,Mountainside,2,17,0,0
Union,ARBOR TERRACE MOUNTAINSIDE,Mountainside,0,6,0,0
Union,Brighton Gardens at Mountainside,Mountainside,28,7,5,1
Union,Spring Meadows Summit,Summit,10,2,7,0
Union,Spring Grove Rehabilitation and Health Care Center,New Providence,46,9,8,0
Union,Lantern Hill,New Providence,16,16,9,0
Union,Sunrise of Westfield,Westfield,0,3,10,0
Union,Amber Court Assisted Living,Elizabeth,26,7,10,0
Union,Ashbrook Care and Rehabilitation Center,Scotch Plains,35,37,11,0
Union,The Chelsea at Fanwood,Fanwood,18,6,11,0
Union,South Mountain Rehab and LTC,Union,55,35,11,4
Union,Brother Bonaventure Care Center,Elizabeth,51,32,13,0
Union,CORNELL CARE & REHABILITATION CENTER,Union,39,18,13,0
Union,JFK Hartwyck at Cedar Brook,Plainfield,60,19,14,0
Union,ManorCare Mountainside,Mountainside,55,17,14,0
Union,Autumn Lake Healthcare At Berkeley Heights,Berkeley Heights,38,15,16,1
Union,Genesis at Westfield Center,Westfield,5,20,16,2
Union,Cranford Park Rehab and Healthcare Center,Cranford,37,21,16,0
Union,The Woodlands,Plainfield,41,25,17,1
Union,Plaza Healthcare and Rehabilitation Center,Elizabeth,49,20,18,0
Union,Elmora Hills Healthcare Center,Elizabeth,70,40,18,0
Union,AristaCare at Norwood Terrace,Plainfield,46,17,19,0
Union,Elizabeth Nursing and Rehab,Elizabeth,44,18,20,0
Union,Clark Nursing and Rehab,Clark,63,33,21,1
Union,Alaris Health at Riverton,Rahway,62,28,21,0
Union,Runnells Center for Rehabilitation and Healthcare,Berkeley Heights,106,19,28,0
Union,AristaCare at Delaire,Linden,122,33,28,0
Union,Atria Senior Living at Cranford,Cranford,56,14,29,0
Union,Cranford Rehab and Nursing Center,Cranford,116,40,47,0
Warren,Phillipsburg Center,Phillipsburg,0,1,0,0
Warren,The House of The Good Shepherd,Hackettstown,40,13,9,1
Warren,Warren Haven Rehabilitation and Nursing Center,Mansfield,54,8,14,0
Warren,The Chelsea at Brookfield,White Twp,31,16,16,0
Warren,Forest Manor Health Care Center,Freylinghuysen,81,24,19,0
Warren,Lopatcong Center,Lopatcong,100,23,23,0
Warren,Brakley Park,Lopatcong,95,29,25,0
